Band,Ensembles,Branch,Date,Time,Latitude,Longitude,Location,Town,State,Concert
West Point Band,West Point Brass Quintet,Army,03/23/2025,7:00 PM,42.0218822,-73.9081253,Olin Auditorium,Red Hook,NY,Rhapsody in Brass
West Point Band,West Point Chamber Ensembles,Army,04/04/2025,3:00 PM,41.4060299,-73.5921784,Bluestone Farm,Brewster,NY,Applachian Spring
West Point Band,West Point Chamber Ensembles,Army,04/06/2025,6:00 PM,40.7486485,-73.984007,Elebash Recital Hall,New York,NY,Applachian Spring
West Point Band,West Point Concert Band,Army,07/16/2025,7:00 PM,41.7963865,-73.9449469,Vanderbilt Mansion Historic Site,Hyde Park,NY,Eternal Melodies
West Point Band,West Point Concert Band,Army,07/18/2025,7:00 PM,40.8536649,-74.1066394,Wallington High School,Wallington,NJ,Eternal Melodies
West Point Band,West Point Benny Havens Band,Army,08/01/2025,7:00 PM,41.5080116,-73.9875999,Pete and Toshi Seeger Riverfront Park,Beacon,NY,Beacon Summer Concert
West Point Band,West Point Concert Band,Army,08/08/2025,7:00 PM,41.0701692,-73.7705209,Kensico Dam Plaza,Valhalla,NY,Transformations
West Point Band,West Point Concert Band,Army,01/31/2026,2:00 PM,41.7444642,-74.0831591,SUNY New Paltz Studley Theatre,New Paltz,NY,"Standards: New, Old and Borrowed"
West Point Band,West Point Concert Band,Army,02/06/2026,6:00 PM,41.5147518,-73.9631953,Beacon High School,Beacon,NY,"Standards: New, Old and Borrowed"
West Point Band,West Point Concert Band,Army,02/25/2026,6:30 PM,41.6733744,-73.796628,Arlington High School,LaGrangeville,NY,West Point on the March
West Point Band,West Point Concert Band,Army,02/27/2026,7:00 PM,41.2902384,-73.9222532,Paramount Theater,Peekskill,NY,West Point on the March
West Point Band,West Point Concert Band,Army,03/29/2026,7:00 PM,40.9249334,-74.0067776,Bergenfield High School,Bergenfield,NY,Masterworks
